year,school_name,street_addr,county,city,zip,district_name,designation,title_i,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,funding_2018,funding_2019,funding_2020,funding_2021,funding_2022,funding_2023
2021,North Carolina Cyber Academy,2800 Meridian Parkway,Durham,Durham,27713,Charter Schools,Charter,Yes,0,209,1919,0.10890000000000001,0,0,0,0,0,0
2021,NC Virtual Academy,4220 NC Highway 55,Durham,Durham,27713,Charter Schools,Charter,Yes,0,265,1879,0.141,0,0,0,0,0,0
2021,ABSS Early College at ACC,1247 Jimmie Kerr Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,76,222,0.3423,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Alexander Wilson Elementary,2518 NC 54,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Altamahaw-Ossipee Elementary,2832 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Broadview Middle,2229 Broadview Drive,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,475,822,0.5779,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Career and Technical Education Center,2550 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,81,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Highland Elementary,3720 Bonnar Bridge Parkway,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,E M Yoder Elementary,301 N Charles Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Eastern Alamance High,4040 Mebane Rogers,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,35,886,1156,0.7664,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Eastlawn Elementary,502 N Graham Hopedale Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Edwin M Holt Elementary,4751 S NC 62,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Elon Elementary,720 Walker Road,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,B. Everett Jordan Elementary,5827 Church Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Audrey W.Garrett Elementary,3224 Old Hillsborough Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Graham High,903 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,74,592,757,0.782,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Graham Middle,311 E Pine Street,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,326,626,0.5207999999999999,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Grove Park Elementary,141 Trail One,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Hawfields Middle,1951 S NC 119,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,508,691,0.7352,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Harvey R Newlin Elementary,316 Carden Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Haw River Elementary,701 E Main Street,Alamance,Haw River,27258,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Hillcrest Elementary,1714 W Davis Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Hugh M Cummings High,2200 N Mebane Street,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,13,766,847,0.9044,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Marvin B Smith Elementary,2235 Delaney Drive,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,North Graham Elementary,1025 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Pleasant Grove Elementary,2847 Pleasant Grv Sch Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,R Homer Andrews Elementary,2630 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Ray Street Academy,609 Ray Street,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,26,35,0.7429000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,South Graham Elementary,320 Ivey Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,South Mebane Elementary,600 S 3rd Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Southern Alamance High,631 Southern High Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,25,1095,1301,0.8417,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Southern Alamance Middle,771 Southern High Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,422,698,0.6046,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Sylvan Elementary,7718 Sylvan Road,Alamance,Snow Camp,27349,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Turrentine Middle,1710 Edgewood Avenue,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,526,923,0.5699000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Walter M Williams High,1307 S Church Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,15,926,1162,0.7968999999999999,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Western Alamance High,1731 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,94,785,1035,0.7585,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Western Alamance Middle,2100 Eldon Drive,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,477,828,0.5761,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Woodlawn Middle,3970 Mebane Rogers Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,394,578,0.6817,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2021,Alamance-Burlington Schools,1712 Vaughn Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,337,8280,13364,0.6196,0,0,0,0,0,0
2021,River Mill Academy,235 Cheeks Lane,Alamance,Graham,27253,Charter Schools,Charter,No,0,56,479,0.11689999999999999,0,0,0,0,0,0
2021,Clover Garden,2454 Altamahaw Union Ridge Roa,Alamance,Burlington,27217,Charter Schools,Charter,Yes,0,189,394,0.4797,0,0,0,0,0,0
2021,The Hawbridge School,1735 Saxapahaw Bethlehem Churc,Alamance,Saxapahaw,27340,Charter Schools,Charter,No,0,0,294,0.05,0,0,0,0,0,0
2021,Alamance Community School,195 Kronbergs Court,Alamance,Haw River,27258,Charter Schools,Charter,No,0,0,0,0,0,0,0,0,0,0
2021,Alexander Central High,223 School Drive,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,1135,984,1191,0.8262,149180,121203.5,107497.5,166789,215095.5,147755.5
