year,school_name,street_addr,county,city,zip,district_name,designation,title_i,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,funding_2018,funding_2019,funding_2020,funding_2021,funding_2022,funding_2023
2022,North Carolina Cyber Academy,2800 Meridian Parkway,Durham,Durham,27713,Charter Schools,Charter,Yes,7,168,2089,0.08039999999999999,0,0,0,0,0,0
2022,NC Virtual Academy,4220 NC Highway 55,Durham,Durham,27713,Charter Schools,Charter,Yes,0,302,1990,0.1518,0,0,0,0,0,0
2022,ABSS Early College at ACC,1247 Jimmie Kerr Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,51,213,0.2394,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Alexander Wilson Elementary,2518 NC 54,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Altamahaw-Ossipee Elementary,2832 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Broadview Middle,2229 Broadview Drive,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,473,835,0.5665,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Career and Technical Education Center,2550 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,471,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Highland Elementary,3720 Bonnar Bridge Parkway,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,E M Yoder Elementary,301 N Charles Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Eastern Alamance High,4040 Mebane Rogers,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,857,855,1111,0.7696,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Eastlawn Elementary,502 N Graham Hopedale Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Edwin M Holt Elementary,4751 S NC 62,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Elon Elementary,720 Walker Road,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,B. Everett Jordan Elementary,5827 Church Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Audrey W.Garrett Elementary,3224 Old Hillsborough Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
